Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2018,,Voltraio,,,Acquabona,Toscana,,28,Merlot 40% – Petit verdot 30% – Syrah 30%,Cinghiale in umido,,,89,nd,nd,,,,,13,1,,Acciaio 6 mesi e,,,"Legno 24 mesi Rubino concentrato. Il bouquet si apre su sentori di viola, mora e mirtillo, poi arricchiscono il quadro sbuffi di caffè che si intrecciano in nuance cioccolato, carruba e tabacco. Impianto gustativo con tannini succosi e ben disegnati, dotato di buona persistenza gustativa, chiude con un piacevole finale sapido.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Elba Vermentino,,,Acquabona,Toscana,,28,Vermentino 90% – Viognier 10%,Linguine agli scampi,,,86,nd,nd,,,,,13,1,,Acciaio 6 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Elba Rosso,,,Acquabona,Toscana,,28,Sangiovese 70% – Merlot 20% – Syrah 10%,Bucatini all’amatriciana,,,82,nd,nd,,,,,13,1,,Acciaio 6 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Ansonica Dell’Elba,,,Acquabona,Toscana,,28,Ansonica 85% – Vermentino 15%,Spaghetti con vongole e bottarga,,,82,nd,nd,,,,,13,1,,Acciaio 6 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Elba Bianco,,,Acquabona,Toscana,,28,Trebbiano 60% – Vermentino 30% – Malvasia bianca 10%,Fregola con le arselle,,,82,nd,nd,,,,,13,1,,Acciaio 6 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Cortona Syrah Apice,,,Stefano Amerighi,Toscana,,50,Syrah 100%,Filetto di orata allo zenzero,,,91,nd,nd,,,,,14,1,,Terracotta 18 mesi,,,"Mat. Terracotta 18 mesi Rubino scuro. Orizzonte olfattivo di grande finezza, scandito da ciliegia nera e confettura di more, fiore del rosmarino, caucciù, paprica dolce, tapenade e refoli di pomodoro secco. Gusto seducente, dalla tannicità leggiadra e fusa con la succulenza rinfrescante e fruttata; lunghissime allusioni di tamarindo.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Cortona Syrah Serine,,,Stefano Amerighi,Toscana,,50,Syrah 100%,Bitto stravecchio,,,89,nd,nd,,,,,14,1,,Terracotta 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Cortona Syrah,,,Stefano Amerighi,Toscana,,50,Syrah 100%,Legno 24 mesi Filetto di maiale alla senape,,,86,nd,nd,,,,,14,1,,Terracotta 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Bolgheri Superiore Argentiera,,,Argentiera,Toscana,,85,Cabernet sauvignon 50% – Merlot 44% – Cabernet franc 6%,Allodole tartufate in casseruola,,,91,nd,nd,,,,,,80,,Legno 14 mesi,,,"Rubino compatto. Patrimonio olfattivo ampio che si esprime su sensazioni di marmellata di more, gelatina di marasca, liquirizia morbida, cioccolato e salvia. Il sorso è avvolgente, succoso e signorile. Acidità e sapidità si integrano perfettamente con i tannini. Persistente.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Bolgheri Rosso Villa Donoratico,,,Argentiera,Toscana,,85,Cabernet sauvignon 45% – Merlot 35% – Cabernet franc 15% –,Manzo brasato con funghi,,,89,nd,nd,,,,,,80,,Legno 14 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Bolgheri Rosso Poggio Ai Ginepri,,,Argentiera,Toscana,,85,Cabernet sauvignon 40% – Merlot 30% – Cabernet franc 20% –,e Legno 8 mesi Stinco di maiale al forno in pancetta affumicata,,,86,nd,nd,,,,,,80,,Legno 14 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Aleatico Passito Dell’Elba Silosò,,,Arrighi,Toscana,,28,Aleatico 100%,Crostata ai frutti di bosco con mandorle e noci,,,91,nd,nd,,,,,13,3,,Acciaio 6 mesi,,,"Splendida veste porpora lucente. Accattivante insieme di mora di gelso, oleandro, ginepro, cipresso, intrecciati tratti di eucalipto, liquirizia e caffè. Un nettare dolce e succoso, col tannino perfettamente serico sostenere la struttura. Notevole estensione dai ritorni di boero e iodio.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Tresse Anfora,,,Arrighi,Toscana,,28,Sangiovese 50% – Syrah 30% – Sagrantino 20%,Legno 6 mesi Risotto con seppie e burrata,,,89,nd,nd,,,,,13,3,,Acciaio 6 mesi,,,Medaglioni di cervo con riduzione di cottura. V.I.P. 2021 Bianco Igt Viognier 100% Alc. 14% | € 22 | Bt. 2.000 | Ferm. Legno | Mat.,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Elba Rosso Riserva Sergio Arrighi,,,Arrighi,Toscana,,28,Sangiovese 100%,Filetto di manzo in crosta alle erbette,,,86,nd,nd,,,,,13,3,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Valerius,,,Arrighi,Toscana,,28,Ansonica 100%,Ricciola al forno con capperi e pomodori ciliegino,,,86,nd,nd,,,,,13,3,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,In Bolla,,,Arrighi,Toscana,,28,Chardonnay 50% – Manzoni bianco 50%,Fritto di paranza,,,82,nd,nd,,,,,13,3,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Chianti Classico Cultus Boni Riserva,,,Badia a Coltibuono,Toscana,,27,Sangiovese 80% – altre varietà 20%,Terrina di lepre con salsa di prugne,,,91,nd,nd,,,,,15,7,,Legno 24 mesi,,,"Cremisi compatto e vivace. Naso variopinto e ben scandito su arancia matura, erbette, cuoio e polvere di cacao con sfumature di lavanda e corteccia. Articolazione e classicità al palato che presenta tannini ben amalgamati e calore generoso ma ben sorretto. Un’eco di china accompagna lungo.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Sangioveto,,,Badia a Coltibuono,Toscana,,27,Sangiovese 100%,Capriolo ai porcini,,,89,nd,nd,,,,,15,7,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2013,,Vin Santo Del Chianti Classico,,,Badia a Coltibuono,Toscana,,27,Malvasia 50% – Trebbiano 50%,Torta Margherita al profumo d’arancia,,,89,nd,nd,,,,,15,7,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Chianti Classico Badia A Coltibuono Riserva,,,Badia a Coltibuono,Toscana,,27,Sangiovese 90% – altre varietà 10%,Stufato di daino,,,89,nd,nd,,,,,15,7,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Chianti Classico Badia A Coltibuono,,,Badia a Coltibuono,Toscana,,27,Sangiovese 90% – altre varietà 10%,Pappardelle con sugo di lepre,,,86,nd,nd,,,,,15,7,,Legno 24 mesi,,,,Italy,,,
